Date,Adj Close
2000-01-03,40.369145
2000-01-04,39.005468
2000-01-05,39.416736
2000-01-06,38.096351
2000-01-07,38.594201
2000-01-10,38.875595
2000-01-11,37.879894
2000-01-12,36.646092
2000-01-13,37.338753
2000-01-14,38.875595
2000-01-18,39.936232
2000-01-19,37.05736
2000-01-20,36.711029
2000-01-21,35.931786
2000-01-24,35.065959
2000-01-25,35.607101
2000-01-26,34.41659
2000-01-27,34.200133
2000-01-28,34.026968
2000-01-31,33.897094
2000-02-01,35.650392
2000-02-02,34.91444
2000-02-03,35.888494
2000-02-04,36.90584
2000-02-07,36.927486
2000-02-08,38.074705
2000-02-09,36.018368
2000-02-10,36.711029
2000-02-11,34.611401
2000-02-14,34.503172
2000-02-15,34.135196
2000-02-16,33.810512
2000-02-17,34.503172
2000-02-18,32.92304
2000-02-22,32.490127
2000-02-23,32.641646
2000-02-24,32.814811
2000-02-25,31.6243
2000-02-28,31.710883
2000-02-29,30.953285
2000-03-01,31.451135
2000-03-02,32.338607
2000-03-03,33.291016
2000-03-06,31.386198
2000-03-07,32.165442
2000-03-08,33.096205
2000-03-09,34.633046
2000-03-10,34.979377
2000-03-13,33.940385
2000-03-14,32.944685
2000-03-15,33.031268
2000-03-16,33.031268
2000-03-17,34.41659
2000-03-20,33.723929
2000-03-21,35.585455
2000-03-22,35.75862
2000-03-23,38.745721
2000-03-24,38.680784
2000-03-27,36.040014
2000-03-28,36.126597
2000-03-29,37.122297
2000-03-30,35.801912
2000-03-31,36.797612
2000-04-03,31.472781
2000-04-04,30.671892
2000-04-05,29.914294
2000-04-06,29.78442
2000-04-07,30.845057
2000-04-10,29.806066
2000-04-11,29.048468
2000-04-12,27.489981
2000-04-13,27.446689
2000-04-14,25.671746
2000-04-17,26.277824
2000-04-18,27.901248
2000-04-19,27.251878
2000-04-20,27.338461
2000-04-24,23.074267
2000-04-25,24.026676
2000-04-26,23.550472
2000-04-27,24.178196
2000-04-28,24.15655
2000-05-01,25.433643
2000-05-02,24.199841
2000-05-03,24.437943
2000-05-04,24.394652
2000-05-05,24.632754
2000-05-08,24.178196
2000-05-09,23.485535
2000-05-10,22.922748
2000-05-11,23.50718
2000-05-12,23.831865
2000-05-15,24.026676
2000-05-16,24.069967
2000-05-17,23.442243
2000-05-18,22.922748
2000-05-19,22.533126
2000-05-22,22.230087
2000-05-23,21.883756
2000-05-24,22.706291
2000-05-25,21.299324
2000-05-26,21.277678
2000-05-30,21.948693
2000-05-31,21.6673
2000-06-01,22.359961
2000-06-02,22.966039
2000-06-05,23.16085
2000-06-06,24.113259
2000-06-07,24.416298
2000-06-08,23.831865
2000-06-09,23.831865
2000-06-12,23.16085
2000-06-13,23.50718
2000-06-14,24.416298
2000-06-15,25.065667
2000-06-16,25.130604
2000-06-19,25.520226
2000-06-20,25.953139
2000-06-21,27.944539
2000-06-22,27.663146
2000-06-23,26.905548
2000-06-26,27.533272
2000-06-27,27.29517
2000-06-28,27.338461
2000-06-29,26.732383
2000-06-30,27.706437
2000-07-03,27.706437
2000-07-05,27.186941
2000-07-06,28.031122
2000-07-07,28.399098
2000-07-10,27.511626
2000-07-11,27.403398
2000-07-12,27.814665
2000-07-13,27.684791
2000-07-14,27.338461
2000-07-17,27.078713
2000-07-18,27.186941
2000-07-19,25.325415
2000-07-20,25.909848
2000-07-21,25.044022
2000-07-24,24.437943
2000-07-25,23.896802
2000-07-26,23.485535
2000-07-27,24.026676
2000-07-28,24.134904
2000-07-31,24.178196
2000-08-01,23.788574
2000-08-02,24.026676
2000-08-03,24.329715
2000-08-04,23.940093
2000-08-07,24.243132
2000-08-08,25.671746
2000-08-09,25.715037
2000-08-10,25.15225
2000-08-11,25.087313
2000-08-14,25.00073
2000-08-15,24.805919
2000-08-16,24.589463
2000-08-17,24.784274
2000-08-18,24.589463
2000-08-21,24.459589
2000-08-22,24.676046
2000-08-23,24.50288
2000-08-24,24.632754
2000-08-25,24.459589
2000-08-28,24.697691
2000-08-29,24.567817
2000-08-30,24.243132
2000-08-31,24.178196
2000-09-01,24.308069
2000-09-05,24.286424
2000-09-06,24.048322
2000-09-07,24.264778
2000-09-08,24.00503
2000-09-11,23.831865
2000-09-12,23.593763
2000-09-13,23.637054
2000-09-14,22.792874
2000-09-15,22.230087
2000-09-18,21.818819
2000-09-19,22.51148
2000-09-20,22.251732
2000-09-21,22.230087
2000-09-22,21.905402
2000-09-25,21.212741
2000-09-26,21.710591
2000-09-27,20.996284
2000-09-28,21.234387
2000-09-29,20.888056
2000-10-02,20.476789
2000-10-03,19.589317
2000-10-04,19.199695
2000-10-05,19.178049
2000-10-06,19.242986
2000-10-09,18.766782
2000-10-10,18.896656
2000-10-11,19.307923
2000-10-12,18.831719
2000-10-13,18.615262
2000-10-16,17.446397
2000-10-17,17.468043
2000-10-18,17.922602
2000-10-19,21.429197
2000-10-20,22.576417
2000-10-23,21.51578
2000-10-24,21.299324
2000-10-25,21.212741
2000-10-26,22.316669
2000-10-27,23.442243
2000-10-30,23.918448
2000-10-31,23.853511
2000-11-01,24.113259
2000-11-02,24.351361
2000-11-03,23.637054
2000-11-06,24.069967
2000-11-07,24.416298
2000-11-08,24.048322
2000-11-09,24.546172
2000-11-10,23.334015
2000-11-13,23.00933
2000-11-14,23.831865
2000-11-15,24.264778
2000-11-16,23.875156
2000-11-17,23.918448
2000-11-20,23.269078
2000-11-21,23.463889
2000-11-22,23.637054
2000-11-24,24.221487
2000-11-27,24.481235
2000-11-28,23.204141
2000-11-29,22.533126
2000-11-30,19.87071
2000-12-01,19.610963
2000-12-04,19.546026
2000-12-05,20.736537
2000-12-06,19.632608
2000-12-07,18.398806
2000-12-08,18.853365
2000-12-11,20.108813
2000-12-12,20.217041
